Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
True,0.04699583931029494,99.0,-0.3209996447083987,1.0,0
True,0.039083583633950314,99.0,-0.1915191786820234,1.0,0
True,0.028474364627005387,99.0,-0.6610159158786324,1.0,0
True,0.007026650822117084,97.0,0.04727504183974629,1.0,0
True,0.023584002460012524,97.0,-1.3972922060124735,1.0,0
True,0.01791740650534971,93.0,0.01223145752919752,1.0,0
True,0.4815122287357759,89.0,0.7108062308853791,1.0,1
True,0.23099288192443004,88.0,-0.32511664345164704,1.0,1
True,0.09871878790343144,82.0,-0.2015023254859285,1.0,2
True,0.1405655926824976,73.0,0.24488077158724586,1.0,3
False,0.15496452011407902,26.0,40.52402454177906,0.9090909090909091,5
