clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.717417041313,1.28746032715e-05,-0.6003211,2016_9_26-14_52_57
3.0,3.80954022465,7.86986398697,-0.5150900,2016_9_26-14_53_15
3.0,1.82579907782,6.06183099747,-0.4199494,2016_9_26-14_53_38
1.0,0.724323148489,3.01701617241,-0.4963256,2016_9_26-14_53_45
3.0,1.71185967573,3.16298604012,-0.4480223,2016_9_26-14_54_1
1.0,0.127026789018,1.76818394661,-0.4949038,2016_9_26-14_54_10
2.0,1.92294396876,5.08476209641,-0.5061176,2016_9_26-14_54_24
2.0,0.726851951028,2.54409408569,-0.4963256,2016_9_26-14_54_31
3.0,1.91774281684,4.00794315338,-0.4548720,2016_9_26-14_54_47
