Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage,Given x,Given y,Expected x,Expected y,Disparity,Goal Arrival Delay,Trust Value,,,,,Arrival Time,Exp Arrival,Delay,,
prospero,250.175078,FALSE,0,100000,-9,5.73,6,5.73,6,1.91E-008,-5.44804,0.624204,,,,,0,0,-5.44804,,
*,*,*,11.3737,100000,-9,5.73,4.6,5.73,4.6,9.73E-008,-1.34367,0.457992,,,,,11.3737,15.4334,-1.34367,,
*,*,*,20.1907,100000,-9,6.23,4.6,6.23,4.6,9.73E-008,-1.5575,0.466651,,,,,20.1907,24.3082,-1.5575,,
*,*,*,29.2293,100000,-9,6.23,5.5,6.23,5.5,1.91E-008,-1.54337,0.466079,,,,,29.2293,30.9243,-1.54337,,
*,*,*,35.8586,100000,-9,6.73,5.5,6.73,5.5,1.91E-008,-3.66313,0.551922,,,,,35.8586,35.4585,-3.66313,,
*,*,*,42.5138,100000,-9,6.73,2.9,6.73,2.8,0.1,-1.4852,0.459674,,,,,42.5138,44.2219,-1.4852,,238.10174
*,*,*,51.4467,100000,-9,6.23,2.9,6.23,2.8,0.1,0.417608,0.382616,,,,,51.4467,55.2116,0.417608,,
*,*,*,55.9479,100000,-9,6.23,4.1,6.23,4.1,9.73E-008,0.447458,0.385457,,,,,55.9479,59.6166,0.447458,,
*,*,*,62.5662,100000,-9,5.73,4.1,5.73,4.1,9.73E-008,-1.75805,0.474773,,,,,62.5662,66.2488,-1.75805,,
*,*,*,69.2411,100000,-9,5.73,2.9,5.73,2.8,0.1,0.434668,0.381926,,,,,69.2411,70.6835,0.434668,,
*,*,*,76.3628,100000,-9,5.23,2.9,5.23,2.8,0.1,-0.0958544,0.40341,,,,,76.3628,79.5064,-0.0958544,,
*,*,*,80.9013,100000,-9,5.23,4.6,5.23,4.6,9.73E-008,1.69791,0.334819,,,,,80.9013,86.0675,1.69791,,
*,*,*,89.9481,100000,-9,4.33,4.6,4.33,4.6,1.22E-007,1.64133,0.33711,,,,,89.9481,94.8512,1.64133,,
*,*,*,96.7599,100000,-9,4.33,5.1,4.33,5.1,1.22E-007,1.54376,0.341061,,,,,96.7599,101.531,1.54376,,
*,*,*,103.366,100000,-9,5.23,5.1,5.23,5.1,9.73E-008,1.23027,0.353756,,,,,103.366,108.186,1.23027,,
*,*,*,110.321,100000,-9,5.23,6,5.23,6,1.91E-008,1.2962,0.351086,,,,,110.321,114.816,1.2962,,
*,*,*,116.892,100000,-9,2.1,6,2.1,6,9.54E-008,1.25941,0.352576,,,,,116.892,121.349,1.25941,,
*,*,*,128.29,100000,-9,2.1,5.1,2.1,5.1,1.35E-007,9.96575,0,,,,,128.29,139.265,9.96575,,
*,*,*,134.838,100000,-8.9999,3.83,5.1,3.83,5.1,1.22E-007,-7.91871,0.724254,,,,,134.838,145.926,-7.91871,,
*,*,*,159.412,99999,-8.9999,3.83,4.6,3.83,4.6,1.22E-007,-10.091,0.812225,,,,,159.412,152.554,-10.091,,
*,*,*,166.041,99999,-8.9999,2.1,4.6,2.1,4.6,1.35E-007,-5.68268,0.633702,,,,,166.041,161.369,-5.68268,,
*,*,*,172.697,99999,-8.9999,2.1,3.4,2.1,3.4,1.35E-007,-3.42478,0.542265,,,,,172.697,172.432,-3.42478,,
*,*,*,181.416,99999,-8.9999,2.6,3.4,2.6,3.4,1.35E-007,-3.38499,0.540654,,,,,181.416,179.041,-3.38499,,
*,*,*,185.857,99999,-8.9999,2.6,4.1,2.6,4.1,1.35E-007,-5.54635,0.628181,,,,,185.857,183.464,-5.54635,,
*,*,*,192.368,99999,-8.9999,4.73,4.1,4.73,4.1,9.73E-008,-5.45591,0.624519,,,,,192.368,190.093,-5.45591,,
*,*,*,201.333,99999,-8.9999,4.73,2.9,4.73,2.8,0.1,-5.66849,0.629078,,,,,201.333,198.906,-5.66849,,
*,*,*,210.301,99999,-8.9999,4,2.9,4,2.8,0.1,-3.65492,0.547535,,,,,210.301,207.654,-3.65492,,
*,*,*,214.902,99999,-8.9999,4,3.55,4,3.55,4.77E-008,-6.00688,0.646831,,,,,214.902,212.104,-6.00688,,
*,*,*,219.449,99999,-8.9999,3.255,3.55,3.255,3.55,1.24E-007,-6.09574,0.650429,,,,,219.449,218.763,-6.09574,,
*,*,*,228.25,99999,-8.9999,3.255,2.9,3.255,2.8,0.1,-6.07903,0.645703,,,,,228.25,225.375,-6.07903,,
*,*,*,234.841,99999,-8.9998,2.1,2.9,2.1,2.8,0.1,-14.828,1,,,,,234.841,232.006,-14.828,,
*,*,*,250.175,99998,*,*,*,*,*,-1.34367,*,3498.97,,,,,250.175,238.534,,,
*,*,*,0,144,*,*,*,*,*,-3.66313,*,3498.97,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1443053617.21085,,,,,,,,,,,,,,,,,,,,,
