Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
ferdinand,1469407492.97845,False,0,1000,0,0,5.67411,6.00768,5.73,6,0.0564158,120,1,8706.908966,28.973038,*
*,*,*,4.66272,1000,0,1,5.6839,4.62728,5.73,4.6,0.0535665,119,12,50969.177525,2.206444,-0.0501749
*,*,*,41.8489,980,0.02,2,6.26152,4.65665,6.23,4.6,0.0648267,111,14,61277.179852,11.622699,-0.12862
*,*,*,55.7598,970,0.03,3,6.15382,5.50839,6.23,5.5,0.0766358,108,7,38268.278939,12.718046,-0.162477
*,*,*,69.6776,970,0.03,4,6.74123,5.42028,6.73,5.5,0.0805092,105,7,40468.321343,15.056228,-0.195382
*,*,*,83.92,950,0.05,5,6.74123,2.79653,6.73,2.8,0.0117549,102,8,40019.861298,8.065458,-0.163816
*,*,*,93.7464,930,0.07,6,6.1832,2.83569,6.23,2.8,0.0588602,100,11,66022.892717,6.748526,-0.209145
*,*,*,116.827,900,0.1,7,6.27131,4.06924,6.23,4.1,0.0514988,95,6,40190.414461,5.685469,-0.238624
*,*,*,126.125,890,0.11,8,5.70348,4.09861,5.73,4.1,0.0265555,93,13,82614.295126,5.935464,-0.234917
*,*,*,149.633,880,0.12,9,5.70348,2.83569,5.73,2.8,0.044465,88,10,82327.578817,11.389333,-0.293349
*,*,*,168.199,880,0.12,10,5.14544,2.8259,5.23,2.8,0.0884333,84,12,160341.500461,36.245643,-0.366325
*,*,*,210.286,860,0.14,11,5.20419,4.59791,5.23,4.6,0.0258995,75,6,72670.963547,12.666707,-0.399425
*,*,*,224.169,860,0.14,12,4.35245,4.61749,4.33,4.6,0.0284565,72,8,85076.837,12.646745,-0.431342
*,*,*,242.696,840,0.16,13,4.27413,5.12657,4.33,5.1,0.0618718,68,9,107103.870036,17.341184,-0.486404
*,*,*,265.883,830,0.17,14,5.26293,5.13636,5.23,5.1,0.0490565,63,11,153580.109519,11.551842,-0.521792
*,*,*,293.689,830,0.17,15,5.21398,5.93915,5.23,6,0.0629215,57,8,77962.677401,8.029947,-0.592191
*,*,*,302.793,820,0.18,16,2.09093,5.9881,2.1,6,0.0149573,55,6,81456.516352,12.73492,-0.571218
*,*,*,316.766,800,0.2,17,2.1203,5.15595,2.1,5.1,0.0595159,52,10,95547.171492,5.68972,-0.624637
*,*,*,340.211,800,0.2,18,3.8042,5.07762,3.83,5.1,0.0341503,47,8,100563.733083,2.191555,-0.655613
*,*,*,354.054,780,0.22,19,3.86294,4.64686,3.83,4.6,0.0572803,44,19,211931.381355,11.479894,-0.69296
*,*,*,391.051,710,0.29,20,2.11051,4.53917,2.1,4.6,0.061733,36,8,78273.822065,7.923422,-0.7413
*,*,*,400.164,710,0.29,21,2.03219,3.41331,2.1,3.4,0.0691002,34,7,102064.971556,11.642955,-0.766825
*,*,*,418.997,680,0.32,22,2.58044,3.43289,2.6,3.4,0.0382652,30,8,131963.194816,14.186143,-0.768699
*,*,*,437.841,660,0.34,23,2.59023,4.1084,2.6,4.1,0.0128885,25,5,95755.181887,10.071232,-0.789666
*,*,*,449.141,650,0.35,24,4.65594,4.04966,4.73,4.1,0.0895465,22,3,45109.407487,34.519333,-0.87216
*,*,*,455.839,640,0.36,25,4.76363,2.8259,4.73,2.8,0.0424489,20,8,132456.117903,12.540777,-0.851837
*,*,*,474.049,610,0.39,26,4,2.83569,4,2.8,0.0356913,14,4,58888.715971,1.003211,-0.891768
*,*,*,480.634,610,0.39,27,4.01958,3.521,4,3.55,0.0349939,11,4,93645.265139,18.718876,-0.921245
*,*,*,489.403,590,0.41,28,3.22659,3.521,3.255,3.55,0.0406013,7,6,106989.985334,5.480853,-0.955451
*,*,*,498.267,560,0.44,29,3.3147,2.83569,3.255,2.8,0.0695519,3,3,52340.515646,1.006552,-1.00216
*,*,*,507.175,540,0.46,30,1.96366,2.81611,2.1,2.8,0.137286,-1,3,62254.942882,3.204955,-1.08296
*,*,*,1469410000,540,*,31,*,*,*,*,1.13491e-316,-3,2,21784.146561,3.239637,*
*,*,*,1469410000,540,*,*,*,*,*,*,0,-7,144,0,0,*
*,*,*,2.42092e-322,0,*,*,*,*,*,*,1.13163e-316,0,0,0,0,*
